STN_ID,LAT,LONG,ELEV,STATE,NAME
US1MABA0001,41.6818,-70.2048,12.5,MA,YARMOUTH 2.3 SSE
US1MABA0002,41.5871,-70.6321,18.3,MA,FALMOUTH 3.1 NNW
US1MABA0003,41.5531,-70.5504,2.4,MA,FALMOUTH 3.0 E
US1MABA0004,41.7135,-70.4723,50.0,MA,SANDWICH 3.4 SSE
US1MABA0007,41.926,-69.9764,22.3,MA,WELLFLEET 3.0 E
US1MABA0008,41.5395,-70.641,0.9,MA,FALMOUTH 1.8 WSW
US1MABA0010,41.722,-70.4179,25.3,MA,EAST SANDWICH 2.3 SE
US1MABA0011,41.5738,-70.5321,4.9,MA,EAST FALMOUTH 1.4 ESE
US1MABA0012,41.7887,-69.9786,8.5,MA,ORLEANS 1.1 E
US1MABA0013,41.5538,-70.6115,5.2,MA,FALMOUTH 0.6 NNW
US1MABA0014,41.6479,-70.6229,2.4,MA,NORTH FALMOUTH 0.5 ENE
US1MABA0015,41.7688,-70.4907,9.1,MA,SANDWICH 0.9 NNE
US1MABA0016,41.56399999999999,-70.5663,5.5,MA,EAST FALMOUTH 1.1 SSW
US1MABA0017,41.5828,-70.5803,12.8,MA,EAST FALMOUTH 1.2 WNW
US1MABA0018,41.5818,-70.5257,9.8,MA,WAQUOIT 0.6 SSW
US1MABA0019,41.5843,-70.5687,12.5,MA,EAST FALMOUTH 0.7 NW
US1MABA0020,41.6777,-69.9504,4.6,MA,CHATHAM 0.6 E
US1MABA0022,41.7217,-70.2355,3.0,MA,YARMOUTH 0.9 NNW
US1MABA0023,41.716,-70.0279,14.9,MA,HARWICH 2.9 NE
US1MABA0024,41.7018,-70.0752,18.0,MA,HARWICH 0.7 N
US1MABA0025,41.6438,-70.2831,2.1,MA,HYANNIS 0.9 SE
US1MABA0027,41.941,-70.0433,19.8,MA,WELLFLEET 0.7 NW
US1MABA0028,41.9287,-70.0032,7.3,MA,WELLFLEET 1.6 ESE
