STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
USW00014739,"BOSTON, MA US",1/1/2020,0,39,43,36
USW00014739,"BOSTON, MA US",1/2/2020,0,40,49,34
USW00014739,"BOSTON, MA US",1/3/2020,0,47,52,44
USW00014739,"BOSTON, MA US",1/4/2020,0.13,47,48,40
USW00014739,"BOSTON, MA US",1/5/2020,0.11,39,41,32
USW00014739,"BOSTON, MA US",1/6/2020,0,33,41,27
USW00014739,"BOSTON, MA US",1/7/2020,0,38,42,33
USW00014739,"BOSTON, MA US",1/8/2020,0.02,38,45,29
USW00014739,"BOSTON, MA US",1/9/2020,0,29,33,22
USW00014739,"BOSTON, MA US",1/10/2020,0,38,53,29
USW00014739,"BOSTON, MA US",1/11/2020,0,57,70,49
USW00014739,"BOSTON, MA US",1/12/2020,0.02,66,74,40
USW00014739,"BOSTON, MA US",1/13/2020,0.01,41,43,36
USW00014739,"BOSTON, MA US",1/14/2020,0,39,42,37
USW00014739,"BOSTON, MA US",1/15/2020,0,44,52,39
USW00014739,"BOSTON, MA US",1/16/2020,0.1,42,47,30
USW00014739,"BOSTON, MA US",1/17/2020,0,25,30,16
USW00014739,"BOSTON, MA US",1/18/2020,0.28,18,33,14
USW00014739,"BOSTON, MA US",1/19/2020,0.02,33,45,24
USW00014739,"BOSTON, MA US",1/20/2020,0,26,30,19
USW00014739,"BOSTON, MA US",1/21/2020,0,23,28,18
USW00014739,"BOSTON, MA US",1/22/2020,0,29,39,20
USW00014739,"BOSTON, MA US",1/23/2020,0,36,50,26
USW00014739,"BOSTON, MA US",1/24/2020,0,41,48,34
USW00014739,"BOSTON, MA US",1/25/2020,0.7,42,50,40
USW00014739,"BOSTON, MA US",1/26/2020,0,47,51,40
USW00014739,"BOSTON, MA US",1/27/2020,0,42,48,39
USW00014739,"BOSTON, MA US",1/28/2020,0,41,42,36
USW00014739,"BOSTON, MA US",1/29/2020,0,37,43,29
USW00014739,"BOSTON, MA US",1/30/2020,0,29,33,22
USW00014739,"BOSTON, MA US",1/31/2020,0,35,47,29
USW00014739,"BOSTON, MA US",2/1/2020,0.02,38,41,34
USW00014739,"BOSTON, MA US",2/2/2020,0,39,44,36
USW00014739,"BOSTON, MA US",2/3/2020,0,41,50,35
USW00014739,"BOSTON, MA US",2/4/2020,0,42,47,35
USW00014739,"BOSTON, MA US",2/5/2020,0.05,41,43,33
USW00014739,"BOSTON, MA US",2/6/2020,0.44,37,41,34
USW00014739,"BOSTON, MA US",2/7/2020,0.32,40,56,30
USW00014739,"BOSTON, MA US",2/8/2020,0,31,37,25
USW00014739,"BOSTON, MA US",2/9/2020,0,27,38,20
USW00014739,"BOSTON, MA US",2/10/2020,0.16,42,47,38
USW00014739,"BOSTON, MA US",2/11/2020,0.17,43,45,40
USW00014739,"BOSTON, MA US",2/12/2020,0,41,45,37
USW00014739,"BOSTON, MA US",2/13/2020,0.53,39,41,35
USW00014739,"BOSTON, MA US",2/14/2020,0,33,40,15
USW00014739,"BOSTON, MA US",2/15/2020,0,19,31,12
