STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN,DATE_conv
USW00014739,"BOSTON, MA US",1/1/2020,0.0,39.0,43,36,2020-01-01
USW00014739,"BOSTON, MA US",1/2/2020,0.0,40.0,49,34,2020-01-02
USW00014739,"BOSTON, MA US",1/3/2020,0.0,47.0,52,44,2020-01-03
USW00014739,"BOSTON, MA US",1/4/2020,0.13,47.0,48,40,2020-01-04
USW00014739,"BOSTON, MA US",1/5/2020,0.11,39.0,41,32,2020-01-05
USW00014739,"BOSTON, MA US",1/6/2020,0.0,33.0,41,27,2020-01-06
USW00014739,"BOSTON, MA US",1/7/2020,0.0,38.0,42,33,2020-01-07
USW00014739,"BOSTON, MA US",1/8/2020,0.02,38.0,45,29,2020-01-08
USW00014739,"BOSTON, MA US",1/9/2020,0.0,29.0,33,22,2020-01-09
USW00014739,"BOSTON, MA US",1/10/2020,0.0,38.0,53,29,2020-01-10
USW00014739,"BOSTON, MA US",1/11/2020,0.0,57.0,70,49,2020-01-11
USW00014739,"BOSTON, MA US",1/12/2020,0.02,66.0,74,40,2020-01-12
USW00014739,"BOSTON, MA US",1/13/2020,0.01,41.0,43,36,2020-01-13
USW00014739,"BOSTON, MA US",1/14/2020,0.0,39.0,42,37,2020-01-14
USW00014739,"BOSTON, MA US",1/15/2020,0.0,44.0,52,39,2020-01-15
USW00014739,"BOSTON, MA US",1/16/2020,0.1,42.0,47,30,2020-01-16
USW00014739,"BOSTON, MA US",1/17/2020,0.0,25.0,30,16,2020-01-17
USW00014739,"BOSTON, MA US",1/18/2020,0.28,18.0,33,14,2020-01-18
USW00014739,"BOSTON, MA US",1/19/2020,0.02,33.0,45,24,2020-01-19
USW00014739,"BOSTON, MA US",1/20/2020,0.0,26.0,30,19,2020-01-20
USW00014739,"BOSTON, MA US",1/21/2020,0.0,23.0,28,18,2020-01-21
USW00014739,"BOSTON, MA US",1/22/2020,0.0,29.0,39,20,2020-01-22
USW00014739,"BOSTON, MA US",1/23/2020,0.0,36.0,50,26,2020-01-23
USW00014739,"BOSTON, MA US",1/24/2020,0.0,41.0,48,34,2020-01-24
USW00014739,"BOSTON, MA US",1/25/2020,0.7,42.0,50,40,2020-01-25
USW00014739,"BOSTON, MA US",1/26/2020,0.0,47.0,51,40,2020-01-26
USW00014739,"BOSTON, MA US",1/27/2020,0.0,42.0,48,39,2020-01-27
USW00014739,"BOSTON, MA US",1/28/2020,0.0,41.0,42,36,2020-01-28
USW00014739,"BOSTON, MA US",1/29/2020,0.0,37.0,43,29,2020-01-29
USW00014739,"BOSTON, MA US",1/30/2020,0.0,29.0,33,22,2020-01-30
USW00014739,"BOSTON, MA US",1/31/2020,0.0,35.0,47,29,2020-01-31
USW00014739,"BOSTON, MA US",2/1/2020,0.02,38.0,41,34,2020-02-01
USW00014739,"BOSTON, MA US",2/2/2020,0.0,39.0,44,36,2020-02-02
USW00014739,"BOSTON, MA US",2/3/2020,0.0,41.0,50,35,2020-02-03
USW00014739,"BOSTON, MA US",2/4/2020,0.0,42.0,47,35,2020-02-04
USW00014739,"BOSTON, MA US",2/5/2020,0.05,41.0,43,33,2020-02-05
USW00014739,"BOSTON, MA US",2/6/2020,0.44,37.0,41,34,2020-02-06
USW00014739,"BOSTON, MA US",2/7/2020,0.32,40.0,56,30,2020-02-07
USW00014739,"BOSTON, MA US",2/8/2020,0.0,31.0,37,25,2020-02-08
USW00014739,"BOSTON, MA US",2/9/2020,0.0,27.0,38,20,2020-02-09
USW00014739,"BOSTON, MA US",2/10/2020,0.16,42.0,47,38,2020-02-10
USW00014739,"BOSTON, MA US",2/11/2020,0.17,43.0,45,40,2020-02-11
USW00014739,"BOSTON, MA US",2/12/2020,0.0,41.0,45,37,2020-02-12
USW00014739,"BOSTON, MA US",2/13/2020,0.53,39.0,41,35,2020-02-13
USW00014739,"BOSTON, MA US",2/14/2020,0.0,33.0,40,15,2020-02-14
USW00014739,"BOSTON, MA US",2/15/2020,0.0,19.0,31,12,2020-02-15
USW00014739,"BOSTON, MA US",2/16/2020,0.0,35.0,46,29,2020-02-16
USW00014739,"BOSTON, MA US",2/17/2020,0.0,42.0,49,31,2020-02-17
