DATE_CONV,PRCP,TMAX,TMIN,TAVG_cal
2020-01-01,0.018125000000000002,41.0,34.0,37.5
2020-01-02,0.0,47.5,31.5,39.5
2020-01-03,0.0,50.0,40.0,45.0
2020-01-04,0.014666666666666666,45.5,38.5,42.0
2020-01-05,0.23,39.5,27.5,33.5
2020-01-06,0.0,38.5,23.5,31.0
2020-01-07,0.0,41.5,31.0,36.25
2020-01-08,0.00125,44.5,27.0,35.75
2020-01-09,0.0,32.0,20.5,26.25
2020-01-10,0.0,51.5,25.5,38.5
2020-01-11,0.0,70.0,48.5,59.25
2020-01-12,0.04625,73.0,37.0,55.0
2020-01-13,0.004666666666666667,40.0,34.0,37.0
2020-01-14,0.014375,42.0,35.5,38.75
2020-01-15,0.003125,50.5,33.0,41.75
2020-01-16,0.08933333333333335,45.5,28.5,37.0
2020-01-17,0.05266666666666667,28.5,14.0,21.25
2020-01-18,0.042,27.5,12.5,20.0
2020-01-19,0.3471428571428571,43.5,21.0,32.25
2020-01-20,0.0,29.0,16.0,22.5
2020-01-21,0.0,27.0,11.0,19.0
2020-01-22,0.0,38.0,12.0,25.0
2020-01-23,0.0,48.0,17.5,32.75
2020-01-24,0.0,47.5,27.5,37.5
2020-01-25,0.08533333333333332,48.0,36.5,42.25
2020-01-26,0.50375,50.0,38.0,44.0
2020-01-27,0.0,47.0,36.5,41.75
2020-01-28,0.0,41.0,34.5,37.75
2020-01-29,0.0,42.0,26.0,34.0
2020-01-30,0.0,34.0,19.5,26.75
2020-01-31,0.0,46.0,23.0,34.5
2020-02-01,0.009375000000000001,40.0,30.0,35.0
2020-02-02,0.0,43.0,31.0,37.0
2020-02-03,0.0,48.5,28.5,38.5
2020-02-04,0.0,47.0,29.5,38.25
2020-02-05,0.04499999999999999,42.0,30.0,36.0
2020-02-06,0.27133333333333337,39.0,31.0,35.0
2020-02-07,0.25249999999999995,47.5,28.5,38.0
2020-02-08,0.21533333333333335,35.0,21.5,28.25
2020-02-09,0.0,37.5,16.0,26.75
2020-02-10,0.052666666666666674,46.0,34.5,40.25
2020-02-11,0.1325,42.0,35.5,38.75
