,Northern,Southern,North_avg,South_avg
2020-03-11,15.0,22.0,18.0,14.0
2020-03-12,0.0,5.0,18.0,13.0
2020-03-13,0.0,12.0,18.0,13.0
2020-03-14,18.0,16.0,18.0,15.0
2020-03-15,21.0,23.0,19.0,14.0
2020-03-16,36.0,31.0,23.0,17.0
2020-03-17,28.0,32.0,24.0,20.0
2020-03-18,15.0,16.0,24.0,19.0
2020-03-19,0.0,0.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,0.0
2020-03-22,90.0,154.0,35.0,40.0
2020-03-23,0.0,140.0,35.0,59.0
2020-03-24,22.0,87.0,35.0,69.0
2020-03-25,0.0,17.0,38.0,68.0
2020-03-26,156.0,38.0,62.0,69.0
2020-03-27,0.0,0.0,0.0,0.0
2020-03-28,0.0,0.0,0.0,0.0
2020-03-29,181.0,144.0,93.0,85.0
2020-03-30,0.0,0.0,0.0,0.0
2020-03-31,94.0,147.0,109.0,104.0
2020-04-01,0.0,0.0,0.0,0.0
2020-04-02,142.0,187.0,119.0,108.0
2020-04-03,0.0,0.0,0.0,0.0
2020-04-04,0.0,0.0,0.0,0.0
2020-04-05,0.0,0.0,0.0,0.0
2020-04-06,296.0,366.0,149.0,141.0
2020-04-07,0.0,0.0,0.0,0.0
2020-04-08,361.0,324.0,205.0,174.0
2020-04-09,0.0,0.0,0.0,0.0
2020-04-10,0.0,0.0,0.0,0.0
2020-04-11,0.0,0.0,0.0,0.0
2020-04-12,0.0,0.0,0.0,0.0
2020-04-13,312.0,343.0,220.0,221.0
2020-04-14,0.0,380.0,231.0,270.0
2020-04-15,98.0,181.0,217.0,275.0
2020-04-16,108.0,246.0,219.0,289.0
2020-04-17,0.0,0.0,0.0,0.0
2020-04-18,0.0,0.0,0.0,0.0
2020-04-19,0.0,0.0,0.0,0.0
2020-04-20,0.0,0.0,0.0,0.0
2020-04-21,226.0,345.0,234.0,312.0
2020-04-22,118.0,111.0,204.0,276.0
2020-04-23,0.0,0.0,0.0,0.0
2020-04-24,0.0,0.0,0.0,0.0
